Subject,Start Date,Start Time
LCK 2020 Summer - AF vs SB,2020-06-17,01:00
LCK 2020 Summer - DRX vs T1,2020-06-17,04:00
LCK 2020 Summer - KT vs DYN,2020-06-18,01:00
LCK 2020 Summer - SHO vs HLE,2020-06-18,04:00
LCK 2020 Summer - SB vs DWG,2020-06-19,01:00
LCK 2020 Summer - DRX vs GEN,2020-06-19,04:00
LCK 2020 Summer - AF vs DYN,2020-06-20,01:00
LCK 2020 Summer - T1 vs HLE,2020-06-20,04:00
LCK 2020 Summer - KT vs GEN,2020-06-21,01:00
LCK 2020 Summer - SHO vs DWG,2020-06-21,04:00
LCK 2020 Summer - DYN vs SHO,2020-06-24,01:00
LCK 2020 Summer - KT vs HLE,2020-06-24,04:00
LCK 2020 Summer - DRX vs SB,2020-06-25,01:00
LCK 2020 Summer - DWG vs GEN,2020-06-25,04:00
LCK 2020 Summer - AF vs T1,2020-06-26,01:00
LCK 2020 Summer - DYN vs HLE,2020-06-26,04:00
LCK 2020 Summer - SHO vs GEN,2020-06-27,01:00
LCK 2020 Summer - KT vs DWG,2020-06-27,04:00
LCK 2020 Summer - DRX vs AF,2020-06-28,01:00
LCK 2020 Summer - KT vs SB,2020-06-28,04:00
LCK 2020 Summer - T1 vs DWG,2020-07-01,01:00
LCK 2020 Summer - SB vs GEN,2020-07-01,04:00
LCK 2020 Summer - AF vs HLE,2020-07-02,01:00
LCK 2020 Summer - DRX vs DYN,2020-07-02,04:00
LCK 2020 Summer - KT vs SHO,2020-07-03,01:00
LCK 2020 Summer - T1 vs GEN,2020-07-03,04:00
LCK 2020 Summer - DWG vs HLE,2020-07-04,01:00
LCK 2020 Summer - DYN vs SB,2020-07-04,04:00
LCK 2020 Summer - DRX vs SHO,2020-07-05,01:00
LCK 2020 Summer - AF vs KT,2020-07-05,04:00
LCK 2020 Summer - DRX vs KT,2020-07-08,01:00
LCK 2020 Summer - SB vs HLE,2020-07-08,04:00
LCK 2020 Summer - T1 vs SHO,2020-07-09,01:00
LCK 2020 Summer - AF vs DWG,2020-07-09,04:00
LCK 2020 Summer - DYN vs GEN,2020-07-10,01:00
LCK 2020 Summer - T1 vs SB,2020-07-10,04:00
LCK 2020 Summer - DRX vs DWG,2020-07-11,01:00
LCK 2020 Summer - AF vs SHO,2020-07-11,04:00
LCK 2020 Summer - T1 vs DYN,2020-07-12,01:00
LCK 2020 Summer - HLE vs GEN,2020-07-12,04:00
LCK 2020 Summer - AF vs GEN,2020-07-15,01:00
LCK 2020 Summer - DYN vs DWG,2020-07-15,04:00
LCK 2020 Summer - KT vs T1,2020-07-16,01:00
LCK 2020 Summer - SHO vs SB,2020-07-16,04:00
LCK 2020 Summer - DRX vs HLE,2020-07-17,01:00
LCK 2020 Summer - AF vs DWG,2020-07-17,04:00
LCK 2020 Summer - KT vs SB,2020-07-18,01:00
LCK 2020 Summer - T1 vs GEN,2020-07-18,04:00
LCK 2020 Summer - SHO vs HLE,2020-07-19,01:00
LCK 2020 Summer - DRX vs DYN,2020-07-19,04:00
LCK 2020 Summer - DRX vs KT,2020-07-23,01:00
LCK 2020 Summer - DYN vs GEN,2020-07-23,04:00
LCK 2020 Summer - SB vs DWG,2020-07-24,01:00
LCK 2020 Summer - AF vs SHO,2020-07-24,04:00
LCK 2020 Summer - T1 vs HLE,2020-07-25,01:00
LCK 2020 Summer - DRX vs GEN,2020-07-25,04:00
LCK 2020 Summer - SHO vs SB,2020-07-26,01:00
LCK 2020 Summer - KT vs DYN,2020-07-26,04:00
LCK 2020 Summer - AF vs HLE,2020-07-30,01:00
LCK 2020 Summer - DRX vs DWG,2020-07-30,04:00
LCK 2020 Summer - KT vs T1,2020-07-31,01:00
LCK 2020 Summer - DYN vs SB,2020-07-31,04:00
LCK 2020 Summer - SHO vs GEN,2020-08-01,01:00
LCK 2020 Summer - DRX vs AF,2020-08-01,04:00
LCK 2020 Summer - DWG vs HLE,2020-08-02,01:00
LCK 2020 Summer - T1 vs SB,2020-08-02,04:00
LCK 2020 Summer - DWG vs GEN,2020-08-06,01:00
LCK 2020 Summer - T1 vs SHO,2020-08-06,04:00
LCK 2020 Summer - AF vs DYN,2020-08-07,01:00
LCK 2020 Summer - KT vs HLE,2020-08-07,04:00
LCK 2020 Summer - DRX vs SB,2020-08-08,01:00
LCK 2020 Summer - SHO vs DWG,2020-08-08,04:00
LCK 2020 Summer - T1 vs DYN,2020-08-09,01:00
LCK 2020 Summer - KT vs GEN,2020-08-09,04:00
LCK 2020 Summer - SB vs GEN,2020-08-13,01:00
LCK 2020 Summer - AF vs T1,2020-08-13,04:00
LCK 2020 Summer - KT vs SHO,2020-08-14,01:00
LCK 2020 Summer - DRX vs HLE,2020-08-14,04:00
LCK 2020 Summer - DYN vs DWG,2020-08-15,01:00
LCK 2020 Summer - AF vs SB,2020-08-15,04:00
LCK 2020 Summer - HLE vs GEN,2020-08-16,01:00
LCK 2020 Summer - DRX vs SHO,2020-08-16,04:00
LCK 2020 Summer - T1 vs DWG,2020-08-20,01:00
LCK 2020 Summer - AF vs KT,2020-08-20,04:00
LCK 2020 Summer - SB vs HLE,2020-08-21,01:00
LCK 2020 Summer - DYN vs SHO,2020-08-21,04:00
LCK 2020 Summer - AF vs GEN,2020-08-22,01:00
LCK 2020 Summer - KT vs DWG,2020-08-22,04:00
LCK 2020 Summer - DRX vs T1,2020-08-23,01:00
LCK 2020 Summer - DYN vs HLE,2020-08-23,04:00